RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-03-31,2023-05-31,2024-02-29
394648,76,"Greensboro, NC",msa,NC,2023-02-28,1.1,1.5,3.0
394399,77,"Boise City, ID",msa,ID,2023-02-28,-0.3,0.0,2.3
395134,78,"Stockton, CA",msa,CA,2023-02-28,-0.3,-0.8,-1.4
394484,79,"Colorado Springs, CO",msa,CO,2023-02-28,-0.3,-0.6,-0.3
394798,80,"Little Rock, AR",msa,AR,2023-02-28,0.7,0.5,-0.7
394766,81,"Lakeland, FL",msa,FL,2023-02-28,-0.2,-0.6,1.7
394531,82,"Des Moines, IA",msa,IA,2023-02-28,0.3,0.2,-0.4
394304,83,"Akron, OH",msa,OH,2023-02-28,0.2,-0.1,-0.4
395115,84,"Springfield, MA",msa,MA,2023-02-28,0.2,-0.1,-1.1
394931,85,"Ogden, UT",msa,UT,2023-02-28,0.0,-0.1,1.7
394528,86,"Deltona, FL",msa,FL,2023-02-28,-0.2,-0.5,1.1
395235,87,"Winston, NC",msa,NC,2023-02-28,0.8,1.5,3.6
394816,89,"Madison, WI",msa,WI,2023-02-28,0.5,0.6,-0.3
395006,90,"Provo, UT",msa,UT,2023-02-28,0.1,-0.2,0.9
394549,91,"Durham, NC",msa,NC,2023-02-28,-0.2,-0.2,1.2
395143,92,"Syracuse, NY",msa,NY,2023-02-28,0.4,0.5,0.5
395224,93,"Wichita, KS",msa,KS,2023-02-28,0.9,1.1,2.0
395160,94,"Toledo, OH",msa,OH,2023-02-28,0.2,-0.2,-1.2
394352,95,"Augusta, GA",msa,GA,2023-02-28,0.5,0.8,2.2
394957,96,"Palm Bay, FL",msa,FL,2023-02-28,-0.2,-0.5,0.7
394711,97,"Jackson, MS",msa,MS,2023-02-28,0.0,-0.4,-1.1
394666,98,"Harrisburg, PA",msa,PA,2023-02-28,0.4,0.3,-0.3
395113,99,"Spokane, WA",msa,WA,2023-02-28,0.2,0.7,3.3
394460,100,"Chattanooga, TN",msa,TN,2023-02-28,1.2,1.5,3.3
395075,101,"Scranton, PA",msa,PA,2023-02-28,1.5,1.8,1.9
394871,102,"Modesto, CA",msa,CA,2023-02-28,-0.1,-0.5,-1.2
394590,103,"Fayetteville, AR",msa,AR,2023-02-28,0.5,0.9,3.3
394770,104,"Lansing, MI",msa,MI,2023-02-28,0.6,0.6,0.2
394768,105,"Lancaster, PA",msa,PA,2023-02-28,0.4,0.2,-0.1
394997,106,"Portland, ME",msa,ME,2023-02-28,0.2,0.3,1.8
395245,107,"Youngstown, OH",msa,OH,2023-02-28,0.4,0.1,1.1
394589,108,"Fayetteville, NC",msa,NC,2023-02-28,1.1,1.7,3.1
394792,109,"Lexington, KY",msa,KY,2023-02-28,0.5,0.5,0.7
394898,110,"Myrtle Beach, SC",msa,SC,2023-02-28,-0.1,-0.1,2.4
394971,111,"Pensacola, FL",msa,FL,2023-02-28,0.3,0.5,3.1
394995,112,"Port St. Lucie, FL",msa,FL,2023-02-28,-0.4,-0.9,0.9
395068,113,"Santa Rosa, CA",msa,CA,2023-02-28,0.1,-0.3,-2.8
394761,114,"Lafayette, LA",msa,LA,2023-02-28,0.9,-0.1,-4.4
